count;name;price;url
374;"Ноутбук Lenovo THINKPAD E440; Core i5-4200M, GeForce GT 740M, 8 Гб, Нет, 1 Tb";18 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_thinkpad_e440_core_i5_4200m_geforce_gt_740m_8_gb_net_1_tb/
375;"Ноутбук HP; Core i3-6006U, Intel HD Graphics 520, 8 Гб, 500 Гб, Нет";18 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_core_i3_6006u_intel_hd_graphics_520_8_gb_500_gb_net_2/
376;"Ноутбук DELL 77QCMC; Core i5-6300U, HD Graphics, 8 Гб, 250 Гб, Нет";18 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_dell_77qcmc_core_i5_6300u_hd_graphics_8_gb_250_gb_net_1/
377;"Ноутбук Acer; A9-9410, Radeon R5 M430, 4 Гб, Нет, 500 Гб";18 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_acer_a9_9410_radeon_r5_m430_4_gb_net_500_gb_1/
378;"Ноутбук HP 15gw-0008ur; AMD A8-7050, Radeon R5 series, 8 Гб, 240 Гб, Нет";18 490;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_15gw_0008ur_amd_a8_7050_radeon_r5_series_8_gb_240_gb_net/
379;"Ноутбук Apple Air 11 2012; Core i5, HD Graphics, 4 Гб, Нет, 60 Гб";18 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_apple_air_11_2012_core_i5_hd_graphics_4_gb_net_60_gb/
380;"Ноутбук HP; A10-4600M, Radeon HD 8670M, 8 Гб, 1 Tb, Нет";17 999;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_a10_4600m_radeon_hd_8670m_8_gb_1_tb_net/
381;"Ноутбук Lenovo; A6-9225, Radeon R7 M440, 4 Гб, 500 Гб, Нет";17 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_a6_9225_radeon_r7_m440_4_gb_500_gb_net/
382;"Ноутбук Acer ASPIRE 3; Pentium Silver J5005, Intel UHD Graphics 605, 8 Гб, 1 Tb, Нет";17 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_acer_aspire_3_pentium_silver_j5005_intel_uhd_graphics_605_8_gb_1_tb_net/
383;"Ноутбук Acer aspire 3; A9-9420e, Radeon 520, 6 Гб, Нет, 1 Tb";17 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_acer_aspire_3_a9_9420e_radeon_520_6_gb_net_1_tb/
384;"Ноутбук ASUS; Core i5-4200U, HD Graphics, 12 Гб, 512 GB, Нет";17 900;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_core_i5_4200u_hd_graphics_12_gb_512_gb_net/
385;"Ноутбук HP 15u-262sr; Core i5-4200U, GeForce GT 740M, 8 Гб, 500 Гб";17 900;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_15u_262sr_core_i5_4200u_geforce_gt_740m_8_gb_500_gb_1/
386;"Ноутбук Lenovo; Core i3-7100U, GeForce 940MX, 6 Гб, Нет, 1 Tb";17 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_core_i3_7100u_geforce_940mx_6_gb_net_1_tb_1/
387;"Ноутбук HP 15s-eq0056ur; Ryzen 5 3500U, Radeon Vega 8, 8 Гб, 256 Гб, Нет";17 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_15s_eq0056ur_ryzen_5_3500u_radeon_vega_8_8_gb_256_gb_net/
388;"Ноутбук ASUS *; Pentium N4200, GeForce 920MX, 4 Гб, Нет, 500 Гб";17 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_pentium_n4200_geforce_920mx_4_gb_net_500_gb/
